Fecha,Jugador,Vendedor,Comprador,Precio Operación,Valor Mercado,Sobreprecio (€),Sobreprecio (%),Tipo
2026-08-12 11:00,Iker Benito,Real Bravo C.F,Mercado,143600,150000,-6400,-4.3,Venta
2026-08-12 06:57,Marc Roca,Puppies 2.0,Mercado,2693600,2580000,113600,4.4,Venta
2026-08-12 05:24,Álvaro Fernández,Puppies 2.0,Mercado,346300,340000,6300,1.9,Venta
2026-08-12 05:24,Brahim,Giorgia Melones,Mercado,1642100,1620000,22100,1.4,Venta
2026-08-12 05:14,Diangana,Mercado,Los Ronaldos FC,30000,250000,-220000,-88.0,Clausulazo
2026-08-12 05:04,Miguel Sierra,Mercado,Xiks United,869696,390000,479696,123.0,Compra
2026-08-12 05:04,Manu Bueno,Mercado,Real Bravo C.F,150070,150000,70,0.0,Compra
2026-08-12 05:04,Yeray,Mercado,Real Bravo C.F,2655830,1880000,775830,41.3,Compra
2026-08-12 05:04,Remiro,Mercado,Puppies 2.0,5140980,4500000,640980,14.2,Compra
2026-08-12 05:04,Barrios,Mercado,Xiks United,6269696,6190000,79696,1.3,Compra
2026-08-12 05:04,De Frutos,Mercado,Xiks United,6569696,6280000,289696,4.6,Compra
2026-08-12 05:04,Redondo,Mercado,Los Ronaldos FC,161000,150000,11000,7.3,Compra
2026-08-11 23:30,Marcos Fernández,Racing Puppies Scuderia,U. D. Victormenta,545350,520000,25350,4.9,Traspaso Rival
2026-08-11 19:52,Carreira,La Real Vinotinto C.F,Racing Puppies Scuderia,2600000,2500000,100000,4.0,Traspaso Rival
2026-08-11 19:52,Torró,Racing Puppies Scuderia,Mercado,1846500,1820000,26500,1.5,Venta
2026-08-11 18:31,Jorge Salinas,Troll F.C,Mercado,3119500,2960000,159500,5.4,Venta
2026-08-11 07:09,Arda Güler,Atlético Imperial,Mercado,7989000,7890000,99000,1.3,Venta
2026-08-11 06:22,Diangana,Mercado,Los Ronaldos FC,10000,250000,-240000,-96.0,Clausulazo
2026-08-11 06:16,Yoel Lago,Atlético Imperial,Mercado,271300,260000,11300,4.3,Venta
2026-08-11 05:51,Balliu,U. D. Victormenta,elAmerican C.F.,1000000,560000,440000,78.6,Clausulazo
